Language_ID,Macroarea_Code,Language_Name,Family_name_Code,level_code,Latitude,Longitude,GB030,GB028,GB131,GB042,GB133,GB031,GB092,GB132,GB090,GB065,GB130,GB089,GB091,GB093,GB094,GB044,GB107,GB043,GB084,GB083,GB074,GB080,GB070,GB025,GB082,GB058,GB071,GB052,GB072,GB137,GB021,GB138,GB022,GB051,GB023,GB038,GB024,GB020,GB054,GB035,GB036,GB053,GB057,GB079,GB197,GB196,GB075,GB081,GB039,GB171,GB170,GB037,GB165,GB086,GB166,GB172,GB193,GB108,GB073,GB129,GB111,GB192,GB299,GB198,GB098,GB155,GB103,GB096,GB318,GB095,GB139,GB298,GB059,GB136,GB117,GB319,GB316,GB320,GB317,GB104,GB186,GB114,GB115,GB149,GB321,GB185,GB068,GB121,GB099,GB147,GB313,GB116,GB312,GB309,GB184,GB120,GB158,GB109,GB110,GB119,GB177,GB105,GB433,GB113,GB431,GB069,GB430,GB432,GB315,GB324,GB148,GB314,GB156,GB126,GB151,GB334,GB027,GB262,GB286,GB408,GB026,GB409,GB263,GB264,GB260,GB326,GB134,GB041,GB333,GB410,GB415,GB327,GB285,GB160,GB291,GB152,GB159,GB305,GB521,GB336,GB335,GB520,GB124,GB048,GB047,GB257,GB297,GB122,GB302,GB519,GB135,GB167,GB328,GB118,GB140,GB049,GB203,GB306,GB522,GB303,GB150,GB250,GB400,GB046,GB187,GB323,GB329,GB322,GB254,GB330,GB331,GB146,GB256,GB252,GB253,GB304,GB325,GB188,GB275,GB127,GB276,GB300,GB265,GB123,GB266,GB273,GB270,GB403,GB301,GB402,GB204,GB422,GB421,GB296,GB401
abad1241,4,Abadi,13,2,-9.03389,146.992,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,,0,0,0,0,,,1,,0,,0,2,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,0,2,0,0,,0,0,1,0,0,,,0,0,0,0,0,1,,,0,0,0,0,,,0,0,,0,1,,,0,,1,,,0,0,,,0,0,,,1,1,1,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,,0,1,1,0,,0,,0,,,1,,0,0,,1,,,0,0,,,,,0,,0,1,,2,0,1,,,,,,,,,,,,,,,,,,,,1,,0,,1,,,0,,,,,0,,,,
abar1238,0,Mungbam,11,2,6.5805,10.2267,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,,0,0,1,1,1,1,0,0,0,0,1,,0,,0,,,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,,0,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,1,0,,2,0,0,0,0,,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
abau1245,4,Abau,162,2,-3.97222,141.324,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,1,2,0,0,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,1,,,1,0,0,,,0,,0,,,,1,1,0,0,,,,,0,0,,,,1,,0,1,0,,,,,0,,0,1,0,,,0,,0,0,,,,,,1,1,1,0,,,1,,1,,0,,,,,0,,,1,0,,1,,,,0,,,,,,1,0,,,,,,1,,1,1,,,,,,1,,,,,1,,,1,,,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abee1242,0,Abé,11,2,5.59682,-4.38497,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,,,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,1,,0,0,0,0,0,0,,,0,0,,0,1,0,,0,0,1,,,0,1,,,0,0,1,0,0,0,0,0,0,0,,0,0,0,,,,1,,,0,,0,,,,0,,0,,1,0,1,,0,,0,0,,0,,,0,1,1,1,,,0,,0,1,,0,1,,,,,1,0,0,1,0,0,,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,0,1,0,0,0,0,,,,,
aben1249,4,Abenlen Ayta,13,2,15.4131,120.2,0,1,1,0,0,0,,0,,,2,,,,,1,0,0,,,,,1,1,,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,,,0,0,0,0,0,1,0,0,,,1,,,0,1,0,,0,,,0,,,1,,1,,0,0,0,0,,0,,,,0,1,0,0,,,1,,,,1,0,,,,0,,0,,,,0,,,0,,,0,0,1,,0,,,,0,,1,,,,0,,,1,0,0,,,1,,,1,,,0,0,1,,1,1,,,,,1,,,,,0,1,,,,,,,,0,1,,,,,,,,,,,,1,0,,,,,,,,,,,1,,,,,,
abip1241,5,Abipon,61,2,-29.0,-61.0,1,0,0,0,0,0,1,1,1,2,1,1,1,1,0,1,,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,,1,,1,,,0,1,0,0,,1,0,0,1,0,1,1,1,,0,1,0,,3,1,1,0,1,,1,,1,1,,0,0,0,,0,,1,0,0,0,0,0,,,1,1,0,,1,,1,0,,0,0,1,,1,,,0,,,0,,1,1,1,0,0,0,0,,,0,0,0,,,1,0,1,0,,0,0,0,0,0,,,,1,0,1,0,,0,,,0,,,,,,1,,0,0,,,1,1,0,0,,0,1,1,0,1,,0,1,,,1,,0,,,0,0,,,,,,,,0,,0,,0,,0,0,1,,0,,1,,,,
abkh1244,2,Abkhaz,0,2,43.056218,41.159115,1,,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,3,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,3,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,,0,0,,0,1,0,0,1,0,1,0,0,0,0,0,0,,1,0,1,1,0,0,0,1,0,0,1,1,0,,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,2,0,1,0,1,1,0,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
abua1245,4,Abu' Arapesh,140,2,-3.461612,142.917031,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,1,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,1,0,1,,0,0,0,0,0,1,0,0,1,1,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,,,1,0,,,1,1,,,0,,,,0,1,,0,1,0,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,1,0,1,0,,,,,,,0,0
abui1241,4,Abui,183,2,-8.31058,124.588,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,1,0,0,0,,,0,0,0,,,0,,1,,,,0,0,0,,,,,0,0,0,1,,0,1,,1,1,0,,,,,0,,0,1,0,,,1,0,0,0,,0,,,,1,1,0,1,0,,,,0,,,,,,,0,,0,0,0,,1,,,,0,,,,,,1,0,,,,,,0,,1,0,,,,,,0,0,0,,,1,,,1,,,1,1,0,,,,,0,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,
abun1252,4,Abun,-1,2,-0.57073,132.416,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
