,GB092,GB299,GB107,GB115,GB089,GB155,GB314,GB171,Family_name_Code,GB071,GB114,Macroarea_Code,GB090,GB051,GB074,GB091,GB020,GB133,GB030,GB072,GB113,GB131,GB186,GB082,GB073,GB130,GB083,GB070,GB022,GB170,GB315,GB172
GB092,0.0,0.0525517316345183,0.1348324798997235,0.2174596075612886,0.1085409779320741,0.0,0.166496858157217,0.2203974630819695,0.5457453262446625,0.2508296494355335,0.2475886047220761,0.3345715673120962,0.905964139243956,0.0081021544849141,0.1128199738798972,0.1544019495203573,0.0302331845718396,0.1768701001633309,0.0776166482318901,0.0,0.104591614918933,0.0249568915532463,0.0,0.0285047726640269,0.0854033774793232,0.0515151742512307,0.0141901288295656,0.2329158905587212,0.0,0.2211364713857265,0.1683587084888934,0.0
GB299,0.0525517316345183,0.0,0.5571979240670358,0.1022558152822275,0.1150031985968283,0.1581954667287875,0.0919160201664712,0.039354921929854,0.4243368385243652,0.1402813518429427,0.1690393339818454,0.2441259318398734,0.0587307813857325,0.0,0.2033270538406593,0.134835643907244,0.1294083382203356,0.2248814247570826,0.0,0.2595282375617628,0.1532397164223172,0.1423105592810735,0.0766312696909306,0.1104491896409708,0.1796687068245013,0.1038611307692902,0.2321058979035058,0.2702016798144714,0.1274190521773604,0.0566975124010578,0.1091298575398249,0.0577781095685888
GB107,0.1348324798997235,0.5571979240670358,0.0,0.0998221239891186,0.1264372822959388,0.1411372281466267,0.1061182950544985,0.1483506019497942,0.4978813528861175,0.1086357084030684,0.2204886807089153,0.3037492920509785,0.157230679560542,0.0632584372710553,0.2800739842466292,0.1205729210422311,0.1106286012929742,0.2496826305798805,0.0817530150103807,0.3058143532501692,0.122273487328077,0.1567331258986475,0.0977409957375411,0.1987353891680048,0.1902859162163274,0.1689618765683508,0.294619226229168,0.2404027344670699,0.1458196514494714,0.1456277380162958,0.1232022838815936,0.0284347644450684
GB115,0.2174596075612886,0.1022558152822275,0.0998221239891186,0.0,0.0,0.2867317972497287,0.0923154229333346,0.1075028343225959,0.4210415517430553,0.0123626066570217,0.6154503933123102,0.2621298589453882,0.208753235147125,0.0,0.0261839950365408,0.0,0.0,0.0865118648828286,0.0,0.0719916286105532,0.2737560630918569,0.1516520520354878,0.0202187907566221,0.0357120711872156,0.042263563475307,0.1587775976624401,0.0992721790582109,0.0153946894388933,0.071817443266002,0.1092228970899244,0.0886065035450912,0.0
GB089,0.1085409779320741,0.1150031985968283,0.1264372822959388,0.0,0.0,0.0680798630458111,0.0714030319144379,0.0195584421240412,0.5987075131760471,0.2323873900933448,0.1407437374816463,0.2650642386430222,0.1026591842849126,0.2169771431710243,0.2137277466133153,0.8845709823153971,0.0,0.2079695267417871,0.0990277175824297,0.2629797309823092,0.0646561492813921,0.0873751943875426,0.0,0.1780886824021147,0.2645294514844182,0.0828355749955338,0.2694396321803913,0.2937748891979681,0.0360692704689883,0.0209827393865443,0.0648490734207154,0.0588981470774327
GB155,0.0,0.1581954667287875,0.1411372281466267,0.2867317972497287,0.0680798630458111,0.0,0.0814817227408524,0.0,0.4336371170787858,0.0849628780138313,0.1949117634734437,0.18926226449986,0.0,0.055628350273088,0.0605074955718725,0.0584609508517347,0.0,0.0260282623361603,0.0747845497935876,0.1745743452122168,0.6834900609022015,0.1508550381202615,0.0,0.0,0.1371153980848656,0.1538693342119503,0.1122820389248591,0.1055317801259978,0.0647097623693945,0.0,0.1155813919137233,0.0
GB314,0.166496858157217,0.0919160201664712,0.1061182950544985,0.0923154229333346,0.0714030319144379,0.0814817227408524,0.0,0.3840578325131699,0.3988932811414303,0.0663357024738903,0.1455977226737288,0.3541907244032893,0.1648285282557462,0.0325631542734327,0.0790195818956179,0.0682006035874814,0.0399818824468487,0.0949464183842388,0.0617084770549194,0.0396496554614359,0.0764137647592274,0.0758286448752492,0.0,0.0395783139568886,0.0269146423726556,0.0704914523237378,0.1007141547133677,0.0719545124753683,0.045621910027891,0.3603971302487355,0.74367603252346,0.0402676095678387
GB171,0.2203974630819695,0.039354921929854,0.1483506019497942,0.1075028343225959,0.0195584421240412,0.0,0.3840578325131699,0.0,0.6541692861264201,0.072863261690572,0.1985076725945409,0.4391949622788095,0.2300818145421606,0.489307059528841,0.1057237330619626,0.0231541962268537,0.0,0.1506824237687516,0.514825010885799,0.0,0.0,0.0507859817206945,0.1764573897888912,0.148790615860523,0.066370755288089,0.083599120050269,0.2157478027768707,0.1116816745530709,0.0,0.7533963961268858,0.4765971407475368,0.4146363478959591
Family_name_Code,0.5457453262446625,0.4243368385243652,0.4978813528861175,0.4210415517430553,0.5987075131760471,0.4336371170787858,0.3988932811414303,0.6541692861264201,0.0,0.4786228266236875,0.5073477382373663,0.8127282242401035,0.5639460016060406,0.6884358114502809,0.7549399119645985,0.6175894449691786,0.4018337935830255,0.7107473962735359,0.5837443263649922,0.5408861910241112,0.4139315034897522,0.5145969313789438,0.2061818645471234,0.474225375623061,0.475492638792007,0.4538365285291086,0.5347202728648947,0.6393664046250761,0.4289697045416568,0.6600855701628277,0.4883554686466221,0.300459271907916
GB071,0.2508296494355335,0.1402813518429427,0.1086357084030684,0.0123626066570217,0.2323873900933448,0.0849628780138313,0.0663357024738903,0.072863261690572,0.4786228266236875,0.0,0.0511414276017889,0.2230283032373216,0.2287329133539837,0.1121394559923819,0.2874082124831721,0.2527313555883101,0.0,0.3123064012775901,0.0532490859135283,0.4041435947099059,0.0579221557426725,0.0110497177860061,0.0,0.216699207328535,0.5426505256878088,0.0431712542338099,0.2591777580533806,0.650821685750728,0.0253091461160334,0.0571947667002925,0.052613979857384,0.0838755917581691
