	eng	ukr	ces	fra	ita	deu	lat	pol	rus	nob
a 	0.010227442127904253	0.03469964664310954	0.02420063164582983	0.007321718671222901	0.03315520386403926	0.008551774217600186	0.027372103191954527	0.037940706094140526	0.03227349026037397	0.004926403127368463
 l	0.003726813893562195	0.002915194346289753	0.0037375492889312476	0.0037140776427090918	0.0036610744290008477	0.003715061885280445	0.0039935869406792016	0.00405847417444206	0.0031619627591052816	0.0036100362998125173
la	0.006963817961113359	0.005	0.00720412625441498	0.006526245028289732	0.007951596742286052	0.006768803853809398	0.007287567409998542	0.007666899727559852	0.004908849592067768	0.005425026925685109
 m	0.008002001831462827	0.007720848056537103	0.008306703294649697	0.007848299815136408	0.007945173804691313	0.007579244928259756	0.00845357819559831	0.00829375316440437	0.007904906897763204	0.008336989907854322
mo	0.004120791362310199	0.004151943462897527	0.004559810132496123	0.0038149123298414655	0.007238650669270098	0.003812314814214488	0.003614633435359277	0.004339754562769728	0.004118358902291447	0.0038294307710718418
od	0.0019166471452605575	0.002773851590106007	0.0028592252060324046	0.0019326648367038262	0.0017277702129846106	0.0019256079928940528	0.0009911091677598017	0.002861023378418561	0.0028203927079673654	0.002193944712593243
de	0.005627488979278915	0.0031802120141342758	0.0039524583730447945	0.007327320598285811	0.004945661947948514	0.00514792170490868	0.0036729339746392653	0.003319108582266477	0.0037182339852441736	0.005883760820136423
e 	0.019091935174734332	0.0011307420494699647	0.0159499915905141	0.05056299366982242	0.022602317395884183	0.0205463021194655	0.004343390176359131	0.005087156737468959	0.002781356130694461	0.02010451154812717
 i	0.003859914389760845	0.003144876325088339	0.0034011698529274356	0.004072600974735309	0.005080543637438019	0.003313083112353067	0.005188747995918962	0.0029413892036550377	0.003776788851153531	0.00378954086720651
in	0.011276274037949613	0.007897526501766785	0.010567920614453103	0.011159038709316005	0.011946663926213293	0.013900685308972555	0.009502987902638099	0.008124984931407769	0.008666120154584846	0.011667796880609517
n 	0.012692463317503247	0.006731448763250884	0.007587225056530433	0.010318749649879558	0.0014708527091950774	0.016163436788837957	0.002565223728319487	0.006477485514060001	0.006997306476168169	0.012166420678926164
 v	0.0020018314628276936	0.0038869257950530037	0.0033264188671488105	0.002448042126491513	0.002479253911568995	0.0020812126791885216	0.0037020842442792596	0.00038575596113508693	0.0035816059647890072	0.002393394231919901
vo	0.0006388823817535192	0.003392226148409894	0.0016258339406850927	0.0008402890594364461	0.0017020784626056572	0.0006937375597295071	0.0008162075499198368	0.00012054873785471466	0.003288831635242222	0.0006182935099126411
og	0.0045094448112102566	0.004734982332155477	0.005232569004503747	0.004167833734804773	0.004418981065179971	0.0051090205333350625	0.0046057426031190785	0.005649717514124294	0.005133309911386969	0.005105907694762456
gu	0.0011446642673083886	0.0005653710247349824	0.0006727588720076246	0.0015013164528597837	0.0009634406392107494	0.0009595622321492249	0.0021571199533595687	0.0006750729319864021	0.0008490455556856775	0.0005584586541146436
ue	0.0009796196520220628	8.833922261484099e-05	0.00019622133766889052	0.006727914402554479	0.0005716414459317114	0.0007261552027075216	0.0005538551231598892	0.000249134058233077	0.00012686887613694032	0.0006980733176433045
di	0.004834210021934962	0.004081272084805653	0.004064584851712732	0.004700016805781189	0.006365131156385684	0.004519019431135201	0.005538551231598892	0.0025234869124253602	0.004401374087520006	0.004487614184849814
is	0.012202653491492216	0.008144876325088339	0.007904916746089589	0.010425186264074841	0.009968399147033888	0.015035302813203057	0.013030170529077394	0.004500486213242681	0.007172971073896241	0.014400255295384738
sh	0.0013576250612262282	0.0019611307420494698	0.00013081422511259367	0.00039213489440367486	0.00027618631657374816	0.00040846230152298085	2.915026963999417e-05	0.00028128038832766757	0.0009173595659132608	0.0006781283657106386
h 	0.0019485912643482336	0.0010070671378091872	0.0006073517594513278	0.00042574645678113273	0.0002826092541684865	0.005809241621660173	2.915026963999417e-05	0.000498268116466154	0.0002244603193192021	0.0002792293270573218
 a	0.010866324509657773	0.009734982332155476	0.009773691390555212	0.01154557167665677	0.012055853865323844	0.010671888068362325	0.014575134819997084	0.010399337785600052	0.009290705390951321	0.009453907216083609
ab	0.0021988201972016953	0.001890459363957597	0.0019248378837995925	0.002296790095792953	0.0020168024047478353	0.00205527856480611	0.0032939804693193414	0.0022180967765267497	0.0019518288636452357	0.0014360365391519407
b 	0.0004685137466192474	0.0004946996466431095	0.0004298181682270935	0.00017365973895019888	0.0001734193150579349	0.0002917587868021292	5.830053927998834e-05	0.0007152558446046403	0.0005172346488659874	0.0002991742789899876
av	0.0009902676917179548	0.002879858657243816	0.0015884584477957803	0.0009635314548204582	0.001130437016673946	0.0006872540311339044	0.0013992129427197202	0.00018484139804389582	0.002537377522738806	0.0014360365391519407
v 	0.00012245245650275785	0.0006007067137809187	0.0006166956326736559	7.282505181782533e-05	5.1383500757906636e-05	0.0007715399028767416	0.0	8.036582523647644e-05	0.0008002498340945466	0.0014559814910846064
ba	0.0028217305194113765	0.003321554770318021	0.003111509783035264	0.0027673519690773626	0.0028774760424427714	0.0030537419685289524	0.0021279696837195744	0.003367328077408363	0.0031034078931959246	0.00307152259763054
ac	0.005521008582319995	0.0012367491166077739	0.005550260694062903	0.0054506750322110805	0.004913547259974822	0.0032806654693750526	0.005247048535198951	0.006614107416962011	0.0025471366670570326	0.0006781283657106386
cu	0.0019805353834359096	0.0001413427561837456	0.00037375492889312476	0.001983082180270013	0.001811268401716209	0.0008104410744503588	0.007112665792158577	0.0006750729319864021	0.00014638716477339268	7.977980773066337e-05
us	0.006889281683242115	0.0020848056537102473	0.006166956326736559	0.004240658786622598	0.004117102998227269	0.0070735296978027325	0.026759947529514647	0.003929888854063698	0.0021567708943279855	0.003031632693765208
s 	0.012309133888451135	0.003303886925795053	0.007867541253200277	0.010083468713237353	0.0054016905171749355	0.010179139895096508	0.04040227372103192	0.006292644116016106	0.0038158254284264355	0.005365192069887111
al	0.012309133888451135	0.008303886925795053	0.009549438433219338	0.008946277519466696	0.009499524702617989	0.009653974078852675	0.007958023611718408	0.009973398911846726	0.008607565288675489	0.009653356735410267
lo	0.00595225419000362	0.007597173144876325	0.007633944422642073	0.005741975239482382	0.007707525113685995	0.006172319223013933	0.005159597726278968	0.007554387572228785	0.006441035250029277	0.006023375483665085
on	0.014465361926869263	0.00902826855123675	0.008381454280428323	0.014962747185031652	0.014027695706908512	0.011028482141120484	0.008162075499198368	0.009571569785664345	0.009202873092087286	0.011787466592205512
ne	0.006516600293885896	0.0039222614840989396	0.005111098652613481	0.009388829757436557	0.010617115844102458	0.005906494550594215	0.0033522810085993295	0.0034235841550738963	0.00451848381933872	0.006442219474251067
as	0.004626573247865068	0.004487632508833922	0.004139335837491357	0.004100610610049857	0.005119081263006448	0.00490154761827577	0.007112665792158577	0.003833449863779926	0.004167154623882578	0.006462164426183733
se	0.004621249228017122	0.0036042402826855125	0.0031675730223692327	0.00639740070584281	0.003397733987616576	0.005828692207446981	0.002740125346159452	0.0024752674172834744	0.0034937736659249718	0.009114843033228289
em	0.0033807526034457056	0.002491166077738516	0.003382482106482779	0.0036244468097025376	0.002980243043958585	0.0026387961384103683	0.0027984258854394403	0.0030217550288915143	0.002908225006831401	0.0032510271650245323
me	0.005611516919735077	0.0044346289752650175	0.005223225131281419	0.010201109181558456	0.006101790715001413	0.005498032249071235	0.005713452849438858	0.004733547106428463	0.005064995901159386	0.008676054090709642
en	0.010813084311178313	0.006519434628975265	0.00859636336454187	0.010850932720855975	0.00965367520489171	0.012312220803049851	0.009473837632998106	0.008984899261438067	0.00832455010344693	0.010670549283976226
nt	0.0073737674894052	0.005530035335689046	0.005185849638392107	0.0082516385636659	0.008195668370886108	0.006308473323521593	0.0058883544672788226	0.005842595494691837	0.005718858570480541	0.006242769954924408
t 	0.008241582724620397	0.009363957597173145	0.009512062940330026	0.005691557895916195	0.0009891323895897027	0.008512873046026569	0.00032065296603993586	0.006662326912103897	0.013877503220517624	0.013562567314212773
bj	7.98602977191899e-05	1.76678445229682e-05	8.409485900095308e-05	7.842697888073497e-05	0.0	5.186822876482297e-05	2.915026963999417e-05	8.036582523647644e-06	0.000273256040910333	0.00019944951932665843
je	0.00027152501224524567	0.00035335689045936394	0.0006166956326736559	0.0003025040613971206	5.780643835264496e-05	0.00022692350084610048	2.915026963999417e-05	0.0006509631844154592	0.002625209821602842	0.0024532290877178984
ec	0.0034765849607087335	0.0010424028268551236	0.002354656052026686	0.003630048736765447	0.002164529969426817	0.000953078703553622	0.0033231307389593352	0.0019528895532463775	0.0018835148534176523	0.0002592843751246559
ct	0.0034819089805566794	3.53356890459364e-05	0.000551288520117359	0.0034563889978152483	0.0006422937594738329	0.000551099930626244	0.0035563328960792886	0.00043397545627697277	9.759144318226178e-05	0.00017950456739399258
ti	0.014571842323828183	0.009646643109540637	0.010511857375119135	0.01310850932720856	0.010199624900444468	0.012876287790867302	0.013817227809357237	0.0020171822134355585	0.008685638443221299	0.008795723802305637
io	0.008555699895649211	0.0030035335689045936	0.003046102670478967	0.007786678617444401	0.012710993499987154	0.005569351063622866	0.00720011660107856	0.0031905232618881147	0.0032595542022875435	0.0028720730783038813
 d	0.005435824264752859	0.005512367491166078	0.005195193511614435	0.006134110133886057	0.005774220897669758	0.0045060523739439955	0.004838944760239032	0.005247888387941911	0.005572471405707147	0.005285412262156448
eg	0.0012671167238111464	0.0007243816254416961	0.0011399525331240307	0.001260433589154669	0.0014901215219792925	0.0013874751194590143	0.00104940970703979	0.001422475106685633	0.0012296521840964984	0.0020942199529299134
gr	0.002363864812488021	0.0022614840989399294	0.002205154080469436	0.0021287322839056637	0.0024214474732163504	0.0027944008247048372	0.0021862702229995625	0.0027163648929929038	0.0028594292852402703	0.0030914675495632054
