	eng	deu	ces	fra	rus	ita	pol	ukr	nob	lat
eng	0.0	32.98130132395534	53.28722985157657	30.1783508714057	70.05974262494382	48.01781385435776	66.88401188942021	74.72698022972737	57.775435596782586	52.670205485719165
deu	32.98130132395534	0.0	48.14201140237743	42.61885791856896	63.23187587027444	60.294292449541366	61.843123655649215	66.88829996713358	44.47658173115009	67.63594591314083
ces	53.28722985157657	48.14201140237743	0.0	63.33786503653423	44.47765742586788	63.510636797064656	42.52748289311332	46.41216849261259	61.652176600119134	79.2200234245791
fra	30.1783508714057	42.61885791856896	63.33786503653423	0.0	77.34601028698526	51.82079360929651	77.94697721416964	84.02107087728635	64.53818492968875	64.01984222828703
rus	70.05974262494382	63.23187587027444	44.47765742586788	77.34601028698526	0.0	69.18330499489564	52.029207390457046	34.709386794101235	63.769374439729845	90.774724648901
ita	48.01781385435776	60.294292449541366	63.510636797064656	51.82079360929651	69.18330499489564	0.0	72.488494136319	76.45904103728058	75.63835784247779	62.57382898267861
pol	66.88401188942021	61.843123655649215	42.52748289311332	77.94697721416964	52.029207390457046	72.488494136319	0.0	52.89085872276759	75.02165163971239	86.32975235430307
ukr	74.72698022972737	66.88829996713358	46.41216849261259	84.02107087728635	34.709386794101235	76.45904103728058	52.89085872276759	0.0	72.52315279110158	94.79470472601182
nob	57.775435596782586	44.47658173115009	61.652176600119134	64.53818492968875	63.769374439729845	75.63835784247779	75.02165163971239	72.52315279110158	0.0	100.0
lat	52.670205485719165	67.63594591314083	79.2200234245791	64.01984222828703	90.774724648901	62.57382898267861	86.32975235430307	94.79470472601182	100.0	0.0
