	ces	deu	pol	nob	rus	eng	ita	fra	ukr	lat
ces	0.0	71.60520979650245	57.65348324635112	68.14995705687824	60.84723027003254	80.44131360181441	82.81092764173219	82.72036359054127	64.51408045646814	87.33882615289468
deu	71.60520979650245	0.0	77.4015491359249	53.88350673341324	81.26625482764993	67.88721159042231	77.33765559108807	68.13712910968395	87.36411399006705	77.35158943012564
pol	57.65348324635112	77.4015491359249	0.0	75.70625559595076	62.286002096206104	81.8425531425998	78.48596241449663	84.89295878113786	64.01899591618582	91.26611944464248
nob	68.14995705687824	53.88350673341324	75.70625559595076	0.0	79.75213697019777	72.7363990241147	79.09015987546361	77.33369901853716	81.51353712757971	86.05689979087236
rus	60.84723027003254	81.26625482764993	62.286002096206104	79.75213697019777	0.0	89.67565133438123	83.43369841870279	92.74532896697077	38.40545310729999	98.01960613924278
eng	80.44131360181441	67.88721159042231	81.8425531425998	72.7363990241147	89.67565133438123	0.0	73.25364650731335	61.87584761180226	94.7584633337583	72.68182280582013
ita	82.81092764173219	77.33765559108807	78.48596241449663	79.09015987546361	83.43369841870279	73.25364650731335	0.0	70.93949033045193	88.24944812544645	69.51124781543693
fra	82.72036359054127	68.13712910968395	84.89295878113786	77.33369901853716	92.74532896697077	61.87584761180226	70.93949033045193	0.0	97.40377239150418	73.41544531155309
ukr	64.51408045646814	87.36411399006705	64.01899591618582	81.51353712757971	38.40545310729999	94.7584633337583	88.24944812544645	97.40377239150418	0.0	100.0
lat	87.33882615289468	77.35158943012564	91.26611944464248	86.05689979087236	98.01960613924278	72.68182280582013	69.51124781543693	73.41544531155309	100.0	0.0
