	deu	ces	eng	rus	pol	fra	ita	nob	ukr	lat
deu	0.0	59.87361059943994	50.43425645718882	72.24906534896219	69.62233639578706	55.37799351412646	68.81597402031471	49.180044232281666	77.12620697860032	72.49376767163324
ces	59.87361059943994	0.0	66.86427172669549	52.662443847950215	50.09048306973222	73.02911431353775	73.16078221939843	64.90106682849868	55.463124474540365	83.27942478873689
eng	50.43425645718882	66.86427172669549	0.0	79.86769697966253	74.36328251601	46.02709924160398	60.63573018083555	65.25591731044864	84.74272178174283	62.67601414576965
rus	72.24906534896219	52.662443847950215	79.86769697966253	0.0	57.157604743331575	85.04566962697801	76.3085017067992	71.7607557049638	36.55741995070061	94.39716539407189
pol	69.62233639578706	50.09048306973222	74.36328251601	57.157604743331575	0.0	81.41996799765374	75.48722827540782	75.36395361783158	58.4549273194767	88.79793589947278
fra	55.37799351412646	73.02911431353775	46.02709924160398	85.04566962697801	81.41996799765374	0.0	61.38014196987422	70.93594197411295	90.71242163439527	68.71764376992006
ita	68.81597402031471	73.16078221939843	60.63573018083555	76.3085017067992	75.48722827540782	61.38014196987422	0.0	77.3642588589707	82.35424458136352	66.04253839905778
nob	49.180044232281666	64.90106682849868	65.25591731044864	71.7607557049638	75.36395361783158	70.93594197411295	77.3642588589707	0.0	77.01834495934065	93.02844989543618
ukr	77.12620697860032	55.463124474540365	84.74272178174283	36.55741995070061	58.4549273194767	90.71242163439527	82.35424458136352	77.01834495934065	0.0	97.39735236300591
lat	72.49376767163324	83.27942478873689	62.67601414576965	94.39716539407189	88.79793589947278	68.71764376992006	66.04253839905778	93.02844989543618	97.39735236300591	0.0
